Running for 30 seconds or hit Ctrl-C to end.
CPID      TID      NAME             CPU     REFERENCE         MISS    HIT%
5622     5622     modprobe         17          21100        27200   0.00%
2438     2438     xfce4-terminal   6          181900       187000   0.00%
3703     3703     Isolated Web Co  12           3600         2200  38.89%
5650     5650     false            19           6900          500  92.75%
4706     4706     kworker/0:1      0            3300          500  84.85%
3225     3225     akonadi_indexin  11           6400         2400  62.50%
3221     3231     QXcbEventQueue   12           2000          700  65.00%
3226     3226     akonadi_maildir  16            500          200  60.00%
2390     2390     xfdesktop        9            8100         4000  50.62%
2743     2749     QXcbEventQueue   17           2800          900  67.86%
104      104      migration/17     17          20500         2500  87.80%
5655     5655     kworker/6:3      0             500          100  80.00%
3227     3254     QXcbEventQueue   17           1500          500  66.67%
2273     2273     xfwm4            19           7900         5200  34.18%
2390     2390     xfdesktop        5           12500          800  93.60%
5640     5640     modprobe         19          21100        19000   9.95%
5624     5624     nvidia-modprobe  0           15000          500  96.67%
675      675      dmcrypt_write/2  16           9400         5000  46.81%
3228     3228     akonadi_migrati  14           4600         4400   4.35%
5635     5635     vkcube           12           1000            0 100.00%
2232     2232     dbus-broker      13           2100         2400   0.00%
5637     5637     sh               12          12100         2100  82.64%
33       33       rcuop/2          0           11800         5400  54.24%
5652     5652     nvidia-modprobe  4           13800         6600  52.17%
5624     5624     nvidia-modprobe  4           63600        16200  74.53%
5635     5635     vkcube           17           4900          400  91.84%
5652     5652     nvidia-modprobe  0            4400         6300   0.00%
0        0        swapper/3        3           50800         6200  87.80%
1200     1200     irq/185-iwlwifi  0            1600         2500   0.00%
2426     2426     upowerd          2           23500        27400   0.00%
172      172      kcompactd0       8            1600          300  81.25%
2438     2438     xfce4-terminal   18           2100          700  66.67%
0        0        swapper/11       11         200300         9300  95.36%
2426     2426     upowerd          17            500          100  80.00%
2442     2442     xfce4-power-man  12           7100         3200  54.93%
5627     5627     vkcube           17          11100         4500  59.46%
5664     5664     nvidia-modprobe  17           6900         1600  76.81%
40       40       rcuop/4          0           61900        25900  58.16%
5634     5634     sh               0           12600        10300  18.25%
3225     3237     QXcbEventQueue   13           4400         2300  47.73%
